macrocoalicion,accuracy,n_votos
PRO,0.46392646548733957,17298
PERONISMO,0.4880664558923811,48393
OTROS,0.5625441696113074,1415
PROVINCIALES,0.5667553781326237,9018
LLA,0.5863625703564728,17056
IZQUIERDA,0.5902527075812274,2216
RADICALISMO,0.5991836237358352,16414
